00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
FFFFFFFF 00000000000000000000000000000000 00000000 3F000000
00000001 00000000000000000000000000000010 FFFFFFFE C0000000
00000001 00000000000000000000000000000011 FFFFFFFD C0400000
00000002 00000000000000000000000000000101 FFFFFFFB C0A00000
00000003 00000000000000000000000000001010 FFFFFFF6 C1200000
00000004 00000000000000000000000000010011 FFFFFFED C1980000
00000005 00000000000000000000000000100101 FFFFFFDB C2140000
00000006 00000000000000000000000001001010 FFFFFFB6 C2940000
00000007 00000000000000000000000010010011 FFFFFF6D C3130000
00000008 00000000000000000000000100100101 FFFFFEDB C3928000
00000009 00000000000000000000001001001010 FFFFFDB6 C4128000
0000000A 00000000000000000000010010010011 FFFFFB6D C4926000
0000000B 00000000000000000000100100100101 FFFFF6DB C5125000
0000000C 00000000000000000001001001001010 FFFFEDB6 C5925000
0000000D 00000000000000000010010010010011 FFFFDB6D C6124C00
0000000E 00000000000000000100100100100101 FFFFB6DB C6924A00
0000000F 00000000000000001001001001001010 FFFF6DB6 C7124A00
00000010 00000000000000010010010010010011 FFFEDB6D C7924980
00000011 00000000000000100100100100100101 FFFDB6DB C8124940
00000012 00000000000001001001001001001010 FFFB6DB6 C8924940
00000013 00000000000010010010010010010011 FFF6DB6D C9124930
00000014 00000000000100100100100100100101 FFEDB6DB C9924928
00000015 00000000001001001001001001001010 FFDB6DB6 CA124928
00000016 00000000010010010010010010010100 FFB6DB6C CA924928
00000017 00000000100100100100100100101000 FF6DB6D8 CB124928
00000018 00000001001001001001001001010000 FEDB6DB0 CB924928
00000019 00000010010010010010010010011111 FDB6DB61 CC124927
0000001A 00000100100100100100100100111101 FB6DB6C3 CC924927
0000001B 00001001001001001001001001111010 F6DB6D86 CD124927
0000001C 00010010010010010010010011110100 EDB6DB0C CD924927
0000001D 00100100100100100100100111101000 DB6DB618 CE124927
0000001E 01001001001001001001001111010000 B6DB6C30 CE924927
0000001E 01101101101101101101100001100001 6DB6D861 4EDB6DB0
0000001D 00100100100100100100111100111110 DB6DB0C2 CE12493C
0000001E 01001001001001001001111001111011 B6DB6185 CE92493C
0000001E 01101101101101101100001100001010 6DB6C30A 4EDB6D86
0000001D 00100100100100100111100111101100 DB6D8614 CE1249E7
0000001E 01001001001001001111001111011000 B6DB0C28 CE9249E7
0000001E 01101101101101100001100001010001 6DB61851 4EDB6C30
0000001D 00100100100100111100111101011110 DB6C30A2 CE124F3D
0000001E 01001001001001111001111010111011 B6D86145 CE924F3D
0000001E 01101101101100001100001010001010 6DB0C28A 4EDB6185
0000001D 00100100100111100111101011101100 DB618514 CE1279EB
0000001E 01001001001111001111010111011000 B6C30A28 CE9279EB
0000001E 01101101100001100001010001010001 6D861451 4EDB0C28
0000001D 00100100111100111101011101011101 DB0C28A3 CE13CF5D
0000001E 01001001111001111010111010111001 B6185147 CE93CF5D
0000001E 01101100001100001010001010001111 6C30A28F 4ED86145
0000001D 00100111100111101011101011100001 D861451F CE1E7AEB
0000001E 01001111001111010111010111000010 B0C28A3E CE9E7AEB
0000001E 01100001100001010001010001111100 6185147C 4EC30A28
0000001D 00111100111101011101011100001000 C30A28F8 CE73D75C
0000001E 01111001111010111010111000001111 861451F1 CEF3D75C
0000001B 00001100001010001010001111100010 0C28A3E2 4D428A3E
0000001C 00011000010100010100011111000100 185147C4 4DC28A3E
0000001D 00110000101000101000111110001000 30A28F88 4E428A3E
0000001E 01100001010001010001111100010001 61451F11 4EC28A3E
0000001D 00111101011101011100000111011101 C28A3E23 CE75D707
0000001E 01111010111010111000001110111001 85147C47 CEF5D707
0000001B 00001010001010001111100010001111 0A28F88F 4D228F88
0000001C 00010100010100011111000100011111 1451F11F 4DA28F88
0000001D 00101000101000111110001000111110 28A3E23E 4E228F88
0000001E 01010001010001111100010001111100 5147C47C 4EA28F88
0000001E 01011101011100000111011100001000 A28F88F8 CEBAE0EE
0000001E 01000101000111110001000111110001 451F11F1 4E8A3E23
0000001E 01110101110000011101110000011101 8A3E23E3 CEEB83B8
0000001C 00010100011111000100011111000110 147C47C6 4DA3E23E
0000001D 00101000111110001000111110001100 28F88F8C 4E23E23E
0000001E 01010001111100010001111100011001 51F11F19 4EA3E23E
0000001E 01011100000111011100000111001110 A3E23E32 CEB83B83
0000001E 01000111110001000111110001100101 47C47C65 4E8F88F8
0000001E 01110000011101110000011100110101 8F88F8CB CEE0EE0E
0000001C 00011111000100011111000110010111 1F11F197 4DF88F8C
0000001D 00111110001000111110001100101110 3E23E32E 4E788F8C
0000001E 01111100010001111100011001011100 7C47C65C 4EF88F8C
0000001A 00000111011100000111001101001000 F88F8CB8 CCEE0E69
0000001B 00001110111000001110011010001111 F11F1971 CD6E0E68
0000001C 00011101110000011100110100011110 E23E32E2 CDEE0E68
0000001D 00111011100000111001101000111011 C47C65C5 CE6E0E68
0000001E 01110111000001110011010001110101 88F8CB8B CEEE0E68
0000001C 00010001111100011001011100010110 11F19716 4D8F8CB8
0000001D 00100011111000110010111000101100 23E32E2C 4E0F8CB8
0000001E 01000111110001100101110001011001 47C65C59 4E8F8CB8
0000001E 01110000011100110100011101001101 8F8CB8B3 CEE0E68E
0000001C 00011111000110010111000101100111 1F197167 4DF8CB8B
0000001D 00111110001100101110001011001110 3E32E2CE 4E78CB8B
0000001E 01111100011001011100010110011100 7C65C59C 4EF8CB8B
0000001A 00000111001101000111010011000111 F8CB8B39 CCE68E98
0000001B 00001110011010001110100110001110 F1971672 CD668E98
0000001C 00011100110100011101001100011100 E32E2CE4 CDE68E98
0000001D 00111001101000111010011000111000 C65C59C8 CE668E98
0000001E 01110011010001110100110001101111 8CB8B391 CEE68E98
0000001C 00011001011100010110011100100011 19716723 4DCB8B39
0000001D 00110010111000101100111001000111 32E2CE47 4E4B8B39
0000001E 01100101110001011001110010001111 65C59C8F 4ECB8B39
0000001D 00110100011101001100011011100010 CB8B391E CE51D31B
0000001E 01101000111010011000110111000100 9716723C CED1D31B
0000001D 00101110001011001110010001111001 2E2CE479 4E38B391
0000001E 01011100010110011100100011110010 5C59C8F2 4EB8B391
0000001E 01000111010011000110111000011011 B8B391E5 CE8E98DC
